Tier,Company,HQ,States Covered,Product Focus,Scale,Recruiting Angle,Status / Notes
A,Pacific Private Money,"Novato, CA",CA,"Bridge, consumer & BPL hard money",Was mid: ~$1B+ funded lifetime,"CA LENDER LICENSE REVOKED APR 2026 amid fraud probes - originators displaced NOW. Recruit the staff (not the principals) immediately",DEAD / wind-down - hottest immediate pool in the West
A,Socotra Capital,"Sacramento, CA",20 states,"Hard money, fix&flip, commercial bridge",Mid: $2B+ lifetime,Entangled in Ken Mattson Ponzi-case bankruptcy ($180M of loans); settlement Oct 2025 - reputational stress; team flight risk,Active but stressed
A,Upright (fka Fund That Flip),New York / Cleveland,National,"RTL, construction, DSCR",Mid,"Synapse fallout, non-performing loans, rating 'under probation' - distressed; staff likely receptive",Active but troubled
A,Lima One Capital (MFA Financial),"Greenville, SC",National incl. NV/AZ/CA,"Fix&flip, construction, DSCR",Large: 250+ staff,Restructured/cost-cut 2024-25 (Glassdoor cites leadership churn and layoffs - anecdotal); now re-expanding. Mid-tenure AEs who lived the churn are the receptive profile. YOU HAVE 2 WARM CONTACTS HERE,Active - poaching window; also re-hiring
A,Archwest Capital,"Irvine, CA",~Coast to coast,"Bridge, fix&flip, ground-up, DSCR",Mid/large; founders did $8B AUM,Bain Capital took control July 2024 - PE integration churn possible,Active
A,Merchants Mortgage & Trust,"Denver, CO",Multi-state,"Fix&flip, bridge",Mid: #13 Scotsman Top Private Lender,KKR investment/merger - integration churn possible,Active
A,CoreVest American Finance (Redwood Trust),"Irvine, CA",National,"Bridge/RTL, DSCR, rental portfolio, build-to-rent",Large: ~$500M+/qtr across Redwood platforms,Periodic restructurings / layoff chatter (TheLayoff.com); leadership transitioned 2022,Active
A,Rain City Capital,"Kirkland, WA",WA + multi-state,"Fix&flip/RTL, construction",Mid: first $200M RTL securitization 2025; Inc. 5000,Institutionalizing fast (new COO/CIO 2025) - culture-change moment; long-tenured AEs may not love the new era,Active and growing
A,Velocity Financial (NYSE: VEL),"Westlake Village, CA",National,Investor 1-4 + small commercial bridge,Large: $2.7B originated 2025 (+48%),Public; raised $500M notes Jan 2026 and eyeing an acquisition - change risk creates conversations,Active
A,Vontive (incl. Certain Lending),"San Francisco, CA",National,"Embedded BPL: fix&flip, bridge, DSCR",Mid/large; Citi equity + $150M securitization 2025,Brand transition (Certain Lending folding in) - staff may be movable. Houses Israel Lopez (WA) - #2 national private originator $230.9M,Active and growing
B,Anchor Loans (Pretium),"Thousand Oaks, CA",National,"Fix&flip, ground-up, new multifamily platform",Large: $5.4B 2025 (+117%); $22B lifetime,Hiring mode - hard to poach but full of trained AEs; launched TPO/wholesale 2024 so AEs have broker books,Active; #4 Scotsman Top Private Lender 2026
B,Kiavi,"San Francisco, CA",49 states + DC,"Fix&flip/RTL, DSCR, new construction",Largest: $7.8B 2025; 100k+ loans lifetime,Tech-driven model = fewer relationship LOs; strong brand training ground; relationship-style AEs may feel commoditized,Active; #1 Scotsman Top Private Lender
