Type,Name,Title,Company,Location,Volume / Recognition,Why on this list,Source
PRODUCER TARGET,Israel Lopez,Originator,Vontive / Certain Lending,Washington state,#2 Top Private Originator 2026: $230.9M / 271 loans,The single biggest named producer book in the West; Vontive brand transition = timing,scotsmanguide.com/rankings/top-private-originators/
PRODUCER TARGET,Michael Iuculano,Top originator,Hard Money Lenders Arizona,"Phoenix, AZ",Highest-rated alt lender on Google in AZ; 23 yrs,Deep AZ borrower book at a small shop - institutional platform pitch fits,hardmoneylendersarizona.com
PRODUCER TARGET,Lima One western AEs (via Josh Woodward / Scott Steiner),Account Executives,Lima One Capital,"NV, AZ, CA",,Your 2 warm contacts ARE the map of who's good and who's restless there,Your calendar
PRODUCER POOL,Pacific Private Money alumni,"Originators, BD staff",ex-Pacific Private Money,"Novato / Bay Area, CA",~$1B+ shop until license revoked Apr 2026,Displaced NOW; LinkedIn search 'Pacific Private Money' filtered to past-or-current = whole pool,therealdeal.com 4/20/2026
PRODUCER POOL,Socotra Capital originators,Originators,Socotra Capital,"Sacramento, CA",$2B+ lifetime shop,Mattson-case stress; Sacramento books portable to Genesis,pressdemocrat.com 9/26/2025
PRODUCER POOL,Upright originators,Originators,Upright (fka Fund That Flip),Remote / national,,Distressed shop (Synapse fallout; NPLs); western-territory AEs receptive,therealestatecrowdfundingreview.com/upright
PRODUCER POOL,Roc360 ex-Civic AEs,Account Executives,Roc360 (CIVIC brand),Southern California,,Civic's CA relationship books absorbed 2023; some never loved the new platform,prnewswire.com Roc360/Civic
PRODUCER POOL,RCN / LendingOne / Temple View / Constructive western wholesale AEs,Wholesale AEs,Various nationals,Remote in western states,,Remote = no relo needed; broker books transfer,company sites
REFERRAL NODE,James Dainard,Co-founder,Intrust Funding / Heaton Dainard,"Seattle, WA",BiggerPockets 'On the Market' co-host,PNW flipper/lender network hub - one coffee = ten intros,intrustfunding.com
REFERRAL NODE,Beth P. Johnson,Co-founder,Flynn Family Lending,"Renton, WA",'Lend to Live' author,WA private-lending community hub,geracilawfirm.com Originate Report
REFERRAL NODE,Anthony Geraci,CEO Geraci LLP / AAPL events,Geraci,"Irvine, CA",,Ecosystem hub - knows every western originator; conferences are his,geracillp.com
REFERRAL NODE,Nema Daghbandan,CEO,Lightning Docs,"Irvine, CA",AAPL speaker; publishes market data,Data + network node,AAPL 2025 conference page
INTEL / MODEL,Paul Shaughnessy,Originator,Renovo Financial,Massachusetts,#1 Top Private Originator: $354.8M / 549 loans,Not West - study what a #1 book looks like,scotsmanguide.com rankings
INTEL / MODEL,Matt Ferrigno,Originator,RCN Capital,Connecticut,#3: $216.1M / 852 loans (most units),Remote-wholesale model benchmark,scotsmanguide.com rankings
COMPETITOR EXEC (know them),Bill Tessar,President & CEO,CV3 Financial,"El Segundo, CA",$40B+ career originations,Your fiercest talent competitor in SoCal; his moves signal market comp,cv3financial.com/leadership
COMPETITOR EXEC (know them),Jack Helfrich,EVP Retail Lending,CV3 Financial,"El Segundo, CA",Personal originations $100M+,Recruited Civic's top AEs - watch who he's courting,prnewswire.com CV3 launch
COMPETITOR EXEC (know them),Andy Pollock,CEO,Anchor Loans,"Thousand Oaks, CA",Led $5.4B 2025,,anchorloans.com
COMPETITOR EXEC (know them),Brad Chmura,Chief Revenue Officer,Anchor Loans,"Thousand Oaks, CA",Runs growth/sales,,mpamag.com
COMPETITOR EXEC (know them),Arvind Mohan,CEO,Kiavi,"San Francisco, CA",Led record $7.8B 2025,,scotsmanguide.com interview
COMPETITOR EXEC (know them),Shawn Miller,CEO,Archwest Capital,"Irvine, CA",Retained stake post-Bain deal,Bain integration churn watch,baincapital.com
COMPETITOR EXEC (know them),Jan Brzeski,MD & CIO,Arixa Capital,"Los Angeles, CA",$7B+ platform,,arixacapital.com
COMPETITOR EXEC (know them),Greg Hebner,MD (majority owner),Arixa Capital,"Los Angeles, CA",,,arixacapital.com
COMPETITOR EXEC (know them),Christopher Garcia,CEO,Wilshire Quinn Capital,"San Diego, CA",$600M fund milestone,,prnewswire.com
COMPETITOR EXEC (know them),Jeff Tennyson,CEO,Lima One Capital,"Greenville, SC",,Context for your Lima One conversations,limaone.com
COMPETITOR EXEC (know them),Jeffrey Tesch,CEO,RCN Capital,"South Windsor, CT",NPLA June 2026 panelist,,rcncapital.com
COMPETITOR EXEC (know them),Franck Ruimy,CEO,Dunmor,CA,Apollo/Newfi-backed scaling,Dunmor is hiring fast - rival bidder for the same candidates,housingwire.com
COMPETITOR EXEC (know them),Jonathan Andrews,Head of Casa Lending,Builders Capital,"Puyallup, WA",Leads new investor-loan division,Building a team = bidding against you in PNW,finance.yahoo.com
COMPETITOR EXEC (know them),Will Heaton,Co-founder,Intrust Funding,"Auburn, WA",250 loans / $178M WA 2025,,intrustfunding.com
COMPETITOR EXEC (know them),Jennifer Swank,EVP & COO,Rain City Capital,"Kirkland, WA",New 2025 hire; $200M securitization,Culture-change moment at Rain City,Rain City PR
COMPETITOR EXEC (know them),Rob Hartley,CIO,Rain City Capital,"Kirkland, WA",New 2025 appointment,,Rain City PR
COMPETITOR EXEC (know them),Noah Brocious,President (title/current unverified),Capital Fund 1,"Scottsdale, AZ",Runs AZ's largest local hard money shop,Verify on LinkedIn,capitalfund1.com
COMPETITOR EXEC (know them),Mark Hanf,Founder/President,Pacific Private Money,"Novato, CA",License revoked,NOT a target - his STAFF are. Listed so you know whose name not to invoke,therealdeal.com
